,comment
0,BLOWN!!!
1,This feels like one of the fake concept videos that I used to see years ago. I know it isn't but this stuff feels to advanced to be true.
2,That will only serve to give them more work… I don’t think that can make my childhood dreams come true…
3,They can't possibly think any executive is going to now pay a professional designer to create a presentation for them when they can do it themselves. Congratulations to Microsoft. They have just managed to put an entire industry out of work. My heart bleeds for everyone of us affected by this misplaced excitement.
4,Big day at the clickfarm it seems
5,"America and China set up a course in religion, literature,history, media, education. economy of Bangladesh to play a artificial mind game of Rizvy"
6,This is going to be a huge productivity driver for the next decade..so much potential and so many hours saved. Generative AI at its best!
7,"question, if you're doing more work with co-pilot, will you be rewarded with a rise in your salary? or if you don't use it, will you be considered a slacker and lazy? can you lose your job if you're skillful?"
8,"cool technology, but mindless and meaningless. Why anyone care for content made by imitation AI. The internet is full of content smart, less smart and even more less smart content. You may risk your own credibility while using products similar to this. Remember to validate always and dont become skilless."
9,"Humanity is the training data, the model is still maximizing the companies bottom line."
10,when is CoPilot available in 365?
11,RIP 80% of jobs in developed countries
12,nice
13,I already can't find a job.
14,"Despite all the grand rhetoric, I cannot help but feel that this technology is anti-human at its core. Misguided, I feel."
15,"(NO SHOUTING. DO NOT CENSOR) SATYA NADELLA, THE CEO WHO MISSED THE MOBILE SMARTPHONE BOAT AND ESPECIALLY ALL THE SOFTWARE ASSOCIATED WITH IT?!!! IT IS NOT TOO LATE NADELLA. JUST CREATE SMARTPHONES USING ONLY INTEL PROCESSORS AND GOOGLE ANDROID PORTED ON THESE INTEL PROCESSORS AND BEING ABLE TO LOG IN ON ANY SCREEN AND USE WINDOWS AND ALL ITS SOFTWARE PROGRAMS, THAT WOULD GIVE A SERIOUS COMPETITION TO GOOGLE ANDROID!!!"
16,Life saving technology for the fake-it-till-ya-make-it crowd.  🤣
17,Give me some money.
18,the artificial intel is so much less artificial than the presenters
19,"Well if AI ever needed a substrate to propagate itself across the entire planet, leave it to Microsoft to kick off the apocalypse"
20,This might actually make me stop pirating office
21,"""must do so responsibly"" didn't you just fire the whole AI ethics team?"
